Actual,Predicted
[1.5399999618530273],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[1.362433910369873],[3.029637575149536]
[0.8500000238418579],[1.8280037641525269]
[48.058982849121094],[12.722163200378418]
[0.8100000023841858],[1.0510449409484863]
[1.2300000190734863],[1.2945878505706787]
[0.949999988079071],[1.0510449409484863]
[0.22499999403953552],[0.9267120361328125]
[0.8100000023841858],[1.0510449409484863]
[0.8799999952316284],[0.9258824586868286]
[1.5399999618530273],[1.2945878505706787]
[0.24454225599765778],[2.5956103801727295]
[0.25999999046325684],[2.0261712074279785]
[7.1560845375061035],[22.238597869873047]
[0.7475000023841858],[0.9258824586868286]
[2.142857074737549],[4.951086521148682]
[0.8100000023841858],[1.0510449409484863]
[3.1216931343078613],[14.684359550476074]
[28.759288787841797],[21.40226173400879]
[0.8100000023841858],[1.0510449409484863]
[0.32275131344795227],[6.262333393096924]
[64.75434112548828],[22.285058975219727]
[1.5399999618530273],[1.2945878505706787]
[1.3799999952316284],[1.95797860622406]
[1.2300000190734863],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[1.2300000190734863],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[1.5399999618530273],[1.2945878505706787]
[28.759288787841797],[21.40226173400879]
[0.8999999761581421],[2.55370831489563]
[0.8799999952316284],[0.9258824586868286]
[8.90717601776123],[3.2965071201324463]
[1.5399999618530273],[1.2945878505706787]
[0.949999988079071],[1.0510449409484863]
[1.362433910369873],[3.029637575149536]
[0.7475000023841858],[0.9258824586868286]
[1.2300000190734863],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[0.22716374695301056],[14.388422966003418]
[0.43386244773864746],[6.665280342102051]
[2.9607584476470947],[4.137800693511963]
[2.142857074737549],[4.951086521148682]
[1.2300000190734863],[1.2945878505706787]
[0.8799999952316284],[0.9258824586868286]
[0.8999999761581421],[2.55370831489563]
[2.142857074737549],[4.951086521148682]
[0.32275131344795227],[6.262333393096924]
[3.67724871635437],[5.998643398284912]
[48.058982849121094],[12.722163200378418]
[0.949999988079071],[1.0510449409484863]
[0.949999988079071],[1.0510449409484863]
[64.75434112548828],[22.285058975219727]
[0.0814000815153122],[2.605073928833008]
[0.949999988079071],[1.0510449409484863]
[2.3280422687530518],[2.6078081130981445]
[0.41999998688697815],[1.1585094928741455]
[0.8799999952316284],[0.9258824586868286]
[2.0656967163085938],[21.105669021606445]
[0.949999988079071],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[1.3799999952316284],[1.95797860622406]
[0.7475000023841858],[0.9258824586868286]
[0.8999999761581421],[2.55370831489563]
[1.2300000190734863],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[2.3280422687530518],[2.6078081130981445]
[0.8999999761581421],[2.55370831489563]
[1.5399999618530273],[1.2945878505706787]
[0.8886175751686096],[6.665217399597168]
[1.5399999618530273],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[1.3799999952316284],[1.95797860622406]
[0.8799999952316284],[0.9258824586868286]
[0.949999988079071],[1.0510449409484863]
[0.22716374695301056],[14.388422966003418]
[0.7475000023841858],[0.9258824586868286]
[2.142857074737549],[4.951086521148682]
[0.8100000023841858],[1.0510449409484863]
[0.8100000023841858],[1.0510449409484863]
[28.759288787841797],[21.40226173400879]
[1.3799999952316284],[1.95797860622406]
[2.142857074737549],[4.951086521148682]
[1.5399999618530273],[1.2945878505706787]
[3.1216931343078613],[14.684359550476074]
[4.285714149475098],[5.941553592681885]
[1.5399999618530273],[1.2945878505706787]
[2.439741373062134],[2.82846999168396]
[2.3280422687530518],[2.6078081130981445]
[0.7475000023841858],[0.9258824586868286]
[2.142857074737549],[4.951086521148682]
[0.8886175751686096],[6.665217399597168]
[1.5399999618530273],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[8.90717601776123],[3.2965071201324463]
[0.27000001072883606],[1.822341799736023]
[1.2300000190734863],[1.2945878505706787]
[0.8100000023841858],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[0.949999988079071],[1.0510449409484863]
[1.3799999952316284],[1.95797860622406]
[1.5399999618530273],[1.2945878505706787]
[0.949999988079071],[1.0510449409484863]
[0.7475000023841858],[0.9258824586868286]
[64.75434112548828],[22.285058975219727]
[1.5399999618530273],[1.2945878505706787]
[0.0814000815153122],[2.605073928833008]
[1.4285714626312256],[2.368346691131592]
[2.314814805984497],[2.607048749923706]
[0.8100000023841858],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[1.362433910369873],[3.029637575149536]
[1.5399999618530273],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[0.8100000023841858],[1.0510449409484863]
[0.7475000023841858],[0.9258824586868286]
[1.4285714626312256],[2.368346691131592]
[1.2300000190734863],[1.2945878505706787]
[48.058982849121094],[12.722163200378418]
[0.8799999952316284],[0.9258824586868286]
[0.7475000023841858],[0.9258824586868286]
[0.32275131344795227],[6.262333393096924]
[1.2300000190734863],[1.2945878505706787]
[0.949999988079071],[1.0510449409484863]
[2.3280422687530518],[2.6078081130981445]
[0.7475000023841858],[0.9258824586868286]
[1.2300000190734863],[1.2945878505706787]
[48.058982849121094],[12.722163200378418]
[1.5399999618530273],[1.2945878505706787]
[2.3280422687530518],[2.6078081130981445]
[0.24454225599765778],[2.5956103801727295]
[0.22716374695301056],[14.388422966003418]
[3.1216931343078613],[14.684359550476074]
[0.949999988079071],[1.0510449409484863]
[0.17922137677669525],[2.607088088989258]
[1.690000057220459],[1.2600566148757935]
[0.06613756716251373],[1.918716311454773]
[0.8799999952316284],[0.9258824586868286]
[0.8100000023841858],[1.0510449409484863]
[0.949999988079071],[1.0510449409484863]
[64.75434112548828],[22.285058975219727]
[1.362433910369873],[3.029637575149536]
[1.3799999952316284],[1.95797860622406]
[0.27000001072883606],[1.822341799736023]
[0.949999988079071],[1.0510449409484863]
[2.439741373062134],[2.82846999168396]
[0.8799999952316284],[0.9258824586868286]
[0.949999988079071],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[1.2300000190734863],[1.2945878505706787]
[0.8799999952316284],[0.9258824586868286]
[0.8500000238418579],[1.8280037641525269]
[0.7475000023841858],[0.9258824586868286]
[0.8100000023841858],[1.0510449409484863]
[0.8100000023841858],[1.0510449409484863]
[0.22716374695301056],[14.388422966003418]
[4.285714149475098],[5.941553592681885]
[0.43386244773864746],[6.665280342102051]
[0.8999999761581421],[2.55370831489563]
[0.8100000023841858],[1.0510449409484863]
[0.7475000023841858],[0.9258824586868286]
[1.3799999952316284],[1.95797860622406]
[0.22716374695301056],[14.388422966003418]
[0.949999988079071],[1.0510449409484863]
[2.314814805984497],[2.607048749923706]
[0.0814000815153122],[2.605073928833008]
[0.949999988079071],[1.0510449409484863]
[0.8500000238418579],[1.8280037641525269]
[3.67724871635437],[5.998643398284912]
[1.2300000190734863],[1.2945878505706787]
[4.065274238586426],[2.053727865219116]
[0.8100000023841858],[1.0510449409484863]
[2.142857074737549],[4.95108699798584]
[1.3799999952316284],[1.95797860622406]
[2.314814805984497],[2.607048749923706]
[0.24454225599765778],[2.5956103801727295]
[0.8799999952316284],[0.9258824586868286]
[2.439741373062134],[2.82846999168396]
[2.142857074737549],[4.951086521148682]
[1.2300000190734863],[1.2945878505706787]
[0.8100000023841858],[1.0510449409484863]
[0.0814000815153122],[2.605073928833008]
[1.2300000190734863],[1.2945878505706787]
[3.67724871635437],[5.998643398284912]
[0.32275131344795227],[6.262333393096924]
[2.439741373062134],[2.82846999168396]
[0.8999999761581421],[2.55370831489563]
[0.8500000238418579],[1.8280037641525269]
[0.7475000023841858],[0.9258824586868286]
[2.3280422687530518],[2.6078081130981445]
[0.8799999952316284],[0.9258824586868286]
[0.8799999952316284],[0.9258824586868286]
[1.5399999618530273],[1.2945878505706787]
[0.8799999952316284],[0.9258824586868286]
[1.5399999618530273],[1.2945878505706787]
[0.8999999761581421],[2.55370831489563]
[2.439741373062134],[2.82846999168396]
[1.362433910369873],[3.029637575149536]
[1.3799999952316284],[1.95797860622406]
[0.8799999952316284],[0.9258824586868286]
[1.2300000190734863],[1.2945878505706787]
[2.0656967163085938],[21.105669021606445]
[2.142857074737549],[4.951086521148682]
[2.142857074737549],[4.951086521148682]
[2.142857074737549],[4.951086521148682]
[0.06613756716251373],[1.918716311454773]
[7.1560845375061035],[22.238597869873047]
[2.314814805984497],[2.607048749923706]
[0.8100000023841858],[1.0510449409484863]
[3.1216931343078613],[14.684359550476074]
[1.2300000190734863],[1.2945878505706787]
[3.67724871635437],[5.998643398284912]
[2.314814805984497],[2.607048749923706]
[0.949999988079071],[1.0510449409484863]
[2.3280422687530518],[2.6078081130981445]
[0.7475000023841858],[0.9258824586868286]
[0.8100000023841858],[1.0510449409484863]
[1.2300000190734863],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[4.285714149475098],[5.941553592681885]
[2.0656967163085938],[21.105669021606445]
[0.949999988079071],[1.0510449409484863]
[1.2300000190734863],[1.2945878505706787]
[8.90717601776123],[3.2965071201324463]
[3.67724871635437],[5.998643398284912]
[1.3799999952316284],[1.95797860622406]
[1.362433910369873],[3.029637575149536]
[2.314814805984497],[2.607048749923706]
[0.949999988079071],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[0.4300000071525574],[1.5605335235595703]
[1.2300000190734863],[1.2945878505706787]
[1.690000057220459],[1.2600566148757935]
[1.362433910369873],[3.029637575149536]
[1.2300000190734863],[1.2945878505706787]
[0.8799999952316284],[0.9258824586868286]
[0.949999988079071],[1.0510449409484863]
[0.7475000023841858],[0.9258824586868286]
[2.314814805984497],[2.607048749923706]
[2.142857074737549],[4.951086521148682]
[28.759288787841797],[21.40226173400879]
[0.10111545026302338],[10.115703582763672]
[1.2300000190734863],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[0.8999999761581421],[2.55370831489563]
[0.7475000023841858],[0.9258824586868286]
[1.2300000190734863],[1.2945878505706787]
[0.43386244773864746],[6.665280342102051]
[2.0656967163085938],[21.105669021606445]
[1.2300000190734863],[1.2945878505706787]
[0.949999988079071],[1.0510449409484863]
[0.06613756716251373],[1.918716311454773]
[1.2300000190734863],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[3.67724871635437],[5.998643398284912]
[1.2300000190734863],[1.2945878505706787]
[0.8999999761581421],[2.55370831489563]
[0.8999999761581421],[2.55370831489563]
[48.058982849121094],[12.722160339355469]
[0.25999999046325684],[2.0261712074279785]
[0.8799999952316284],[0.9258824586868286]
[1.3799999952316284],[1.95797860622406]
[0.8799999952316284],[0.9258824586868286]
[0.8799999952316284],[0.9258824586868286]
[0.7475000023841858],[0.9258824586868286]
[48.058982849121094],[12.722163200378418]
[0.8100000023841858],[1.0510449409484863]
[0.8100000023841858],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[0.8500000238418579],[1.8280037641525269]
[0.27000001072883606],[1.822341799736023]
[0.8999999761581421],[2.55370831489563]
[0.8999999761581421],[2.55370831489563]
[4.065274238586426],[2.053727865219116]
[0.7475000023841858],[0.9258824586868286]
[0.27000001072883606],[1.822341799736023]
[0.41999998688697815],[1.1585094928741455]
[1.5399999618530273],[1.2945878505706787]
[2.314814805984497],[2.607048749923706]
[1.5399999618530273],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[0.4300000071525574],[1.5605335235595703]
[48.058982849121094],[12.722163200378418]
[1.3799999952316284],[1.95797860622406]
[0.949999988079071],[1.0510449409484863]
[0.8100000023841858],[1.0510449409484863]
[2.3280422687530518],[2.6078081130981445]
[0.0814000815153122],[2.605073928833008]
[0.949999988079071],[1.0510449409484863]
[2.9607584476470947],[4.137800693511963]
[0.8999999761581421],[2.55370831489563]
[2.0656967163085938],[21.105669021606445]
[1.2300000190734863],[1.2945878505706787]
[2.314814805984497],[2.607048749923706]
[2.0656967163085938],[21.105669021606445]
[0.8100000023841858],[1.0510449409484863]
[3.1216931343078613],[6.664968490600586]
[2.3280422687530518],[2.6078081130981445]
[0.4300000071525574],[1.5605335235595703]
[0.8100000023841858],[1.0510449409484863]
[0.8999999761581421],[2.55370831489563]
[0.43386244773864746],[6.665280342102051]
[0.8799999952316284],[0.9258824586868286]
[0.32275131344795227],[6.262333393096924]
[1.5399999618530273],[1.2945878505706787]
[0.949999988079071],[1.0510449409484863]
[0.24454225599765778],[2.5956103801727295]
[2.0656967163085938],[21.105669021606445]
[1.2300000190734863],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[3.1216931343078613],[14.684359550476074]
[0.27000001072883606],[1.822341799736023]
[2.439741373062134],[2.82846999168396]
[0.7475000023841858],[0.9258824586868286]
[1.5399999618530273],[1.2945878505706787]
[3.1216931343078613],[6.664968490600586]
[0.8799999952316284],[0.9258824586868286]
[0.949999988079071],[1.0510449409484863]
[3.67724871635437],[5.998643398284912]
[8.90717601776123],[3.2965071201324463]
[0.8886175751686096],[6.665217399597168]
[1.3799999952316284],[1.95797860622406]
[4.285714149475098],[5.941553592681885]
[7.1560845375061035],[22.238597869873047]
[0.8100000023841858],[1.0510449409484863]
[0.949999988079071],[1.0510449409484863]
[0.8999999761581421],[2.55370831489563]
[3.897707223892212],[16.955156326293945]
[1.5399999618530273],[1.2945878505706787]
[2.9607584476470947],[4.137800693511963]
[0.949999988079071],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[3.897707223892212],[16.955156326293945]
[1.3799999952316284],[1.95797860622406]
[0.949999988079071],[1.0510449409484863]
[48.058982849121094],[12.722163200378418]
[1.2300000190734863],[1.2945878505706787]
[0.949999988079071],[1.0510449409484863]
[3.897707223892212],[16.955156326293945]
[1.2300000190734863],[1.2945878505706787]
[1.2300000190734863],[1.2945878505706787]
[2.142857074737549],[4.951086521148682]
[1.5399999618530273],[1.2945878505706787]
[1.4285714626312256],[2.368346691131592]
[0.06613756716251373],[1.918716311454773]
[1.5399999618530273],[1.2945878505706787]
[1.2300000190734863],[1.2945878505706787]
[0.8886175751686096],[6.665217399597168]
[4.285714149475098],[5.941553592681885]
[1.2300000190734863],[1.2945878505706787]
[0.8100000023841858],[1.0510449409484863]
[0.17922137677669525],[2.607088088989258]
[1.2300000190734863],[1.2945878505706787]
[2.3280422687530518],[2.6078081130981445]
[28.759288787841797],[21.40226173400879]
[0.8799999952316284],[0.9258824586868286]
[3.67724871635437],[5.998643398284912]
[3.67724871635437],[5.998643398284912]
[3.67724871635437],[5.998643398284912]
[2.3280422687530518],[2.6078081130981445]
[1.5399999618530273],[1.2945878505706787]
[3.1216931343078613],[14.684359550476074]
[8.90717601776123],[3.2965071201324463]
[0.17922137677669525],[2.607088088989258]
[3.67724871635437],[5.998643398284912]
[0.8999999761581421],[2.55370831489563]
[1.690000057220459],[1.2600566148757935]
[1.5399999618530273],[1.2945878505706787]
[3.67724871635437],[5.998643398284912]
[1.5399999618530273],[1.2945878505706787]
[0.949999988079071],[1.0510449409484863]
[0.8100000023841858],[1.0510449409484863]
[0.7475000023841858],[0.9258824586868286]
[0.43386244773864746],[6.665280342102051]
[0.41999998688697815],[1.1585094928741455]
[2.9607584476470947],[4.137800693511963]
[2.9607584476470947],[4.137800693511963]
[3.1216931343078613],[6.664968490600586]
[0.7475000023841858],[0.9258824586868286]
[0.8100000023841858],[1.0510449409484863]
[1.3799999952316284],[1.95797860622406]
[3.1216931343078613],[14.684359550476074]
[0.8799999952316284],[0.9258824586868286]
[1.362433910369873],[3.029637575149536]
[0.8799999952316284],[0.9258824586868286]
[1.5399999618530273],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[1.3799999952316284],[1.95797860622406]
[0.8799999952316284],[0.9258824586868286]
[0.8100000023841858],[1.0510449409484863]
[3.67724871635437],[5.998643398284912]
[0.8999999761581421],[2.55370831489563]
[1.3799999952316284],[1.95797860622406]
[1.5399999618530273],[1.2945878505706787]
[1.2300000190734863],[1.2945878505706787]
[1.3799999952316284],[1.95797860622406]
[2.142857074737549],[4.951086521148682]
[0.949999988079071],[1.0510449409484863]
[0.7475000023841858],[0.9258824586868286]
[2.3280422687530518],[2.6078081130981445]
[0.7475000023841858],[0.9258824586868286]
[0.06613756716251373],[1.918716311454773]
[0.43386244773864746],[6.665280342102051]
[48.058982849121094],[12.722163200378418]
[0.7475000023841858],[0.9258824586868286]
[0.4300000071525574],[1.5605335235595703]
[33.587158203125],[6.566392421722412]
[2.439741373062134],[2.82846999168396]
[1.362433910369873],[3.029637575149536]
[3.897707223892212],[16.955156326293945]
[64.75434112548828],[22.285058975219727]
[0.949999988079071],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[48.058982849121094],[12.722163200378418]
[0.22499999403953552],[0.9267120361328125]
[48.058982849121094],[12.722163200378418]
[28.759288787841797],[21.40226173400879]
[2.3280422687530518],[2.6078081130981445]
[2.439741373062134],[2.82846999168396]
[0.8100000023841858],[1.0510449409484863]
[0.7475000023841858],[0.9258824586868286]
[1.5399999618530273],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[0.06613756716251373],[1.918716311454773]
[0.8100000023841858],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[0.7475000023841858],[0.9258824586868286]
[0.949999988079071],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[64.75434112548828],[22.285058975219727]
[2.3280422687530518],[2.6078083515167236]
[0.27000001072883606],[1.8223419189453125]
[0.949999988079071],[1.0510449409484863]
[1.2300000190734863],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[0.8100000023841858],[1.0510449409484863]
[2.314814805984497],[2.607048749923706]
[1.2300000190734863],[1.2945878505706787]
[0.8799999952316284],[0.9258824586868286]
[0.43386244773864746],[6.665280342102051]
[3.1216931343078613],[6.664968490600586]
[1.3799999952316284],[1.95797860622406]
[0.8799999952316284],[0.9258824586868286]
[1.3799999952316284],[1.95797860622406]
[0.27000001072883606],[1.822341799736023]
[2.0656967163085938],[21.105669021606445]
[2.3280422687530518],[2.6078081130981445]
[3.897707223892212],[16.955156326293945]
[2.9607584476470947],[4.137800693511963]
[0.8100000023841858],[1.0510449409484863]
[0.8799999952316284],[0.9258824586868286]
[3.67724871635437],[5.998643398284912]
[0.8100000023841858],[1.0510449409484863]
[0.4300000071525574],[1.5605335235595703]
[28.759288787841797],[21.40226173400879]
[0.22716374695301056],[14.388422966003418]
[4.618653774261475],[6.15421199798584]
[0.949999988079071],[1.0510449409484863]
[2.142857074737549],[4.951086521148682]
[28.759288787841797],[21.40226173400879]
[0.8100000023841858],[1.0510449409484863]
[0.7475000023841858],[0.9258824586868286]
[2.439741373062134],[2.82846999168396]
[1.5399999618530273],[1.2945878505706787]
[1.5399999618530273],[1.2945878505706787]
[0.8100000023841858],[1.0510449409484863]
[0.8799999952316284],[0.9258824586868286]
[0.7475000023841858],[0.9258824586868286]
[2.314814805984497],[2.607048749923706]
[1.3727219104766846],[6.519164562225342]
[0.7475000023841858],[0.9258824586868286]
[8.90717601776123],[3.2965071201324463]
[3.67724871635437],[5.998643398284912]
[0.10111545026302338],[10.115703582763672]
[3.1216931343078613],[6.664968490600586]
[2.142857074737549],[4.951086521148682]
[1.690000057220459],[1.2600566148757935]
[0.41999998688697815],[1.1585094928741455]
[3.1216931343078613],[6.664968490600586]
[2.142857074737549],[4.951086521148682]
[64.75434112548828],[22.285058975219727]
[0.8799999952316284],[0.9258824586868286]
[0.949999988079071],[1.0510449409484863]
[1.5399999618530273],[1.2945878505706787]
[7.1560845375061035],[22.238597869873047]
[8.90717601776123],[3.2965071201324463]
[0.8999999761581421],[2.55370831489563]
[0.8799999952316284],[0.9258824586868286]
[28.759288787841797],[21.40226173400879]
[0.17922137677669525],[2.607088088989258]
[2.9607584476470947],[4.137800693511963]
[2.142857074737549],[4.951086521148682]
[0.8799999952316284],[0.9258824586868286]
[1.4285714626312256],[2.368346691131592]
[3.67724871635437],[5.998643398284912]
[0.7475000023841858],[0.9258824586868286]
[0.8100000023841858],[1.0510449409484863]
[0.22716374695301056],[14.388422966003418]
[0.41999998688697815],[1.1585094928741455]
[3.1216931343078613],[6.664968490600586]
[0.8799999952316284],[0.9258824586868286]
[0.949999988079071],[1.0510449409484863]
[7.1560845375061035],[22.238597869873047]
[2.3280422687530518],[2.6078081130981445]
[0.8799999952316284],[0.9258824586868286]
[2.439741373062134],[2.82846999168396]
[0.43386244773864746],[6.665280342102051]
[0.7475000023841858],[0.9258824586868286]
[0.0814000815153122],[2.605073928833008]
[2.0656967163085938],[21.105669021606445]
[1.5399999618530273],[1.2945878505706787]
[2.142857074737549],[4.951086521148682]
[0.32275131344795227],[6.262333393096924]
[3.1216931343078613],[6.664968490600586]
[0.7475000023841858],[0.9258824586868286]
[0.7475000023841858],[0.9258824586868286]
[1.3799999952316284],[1.957978367805481]
[0.22499999403953552],[0.9267120361328125]
